delta_ep,reversibility_index,noise_index,sei_thickness,ipa_decay_rate,kinetics_proxy,diffusion_proxy,stability_index,consistency_score,cycle_count,soh
59.0,0.107,0.0529,7.65,0.6866,1.0,0.9762,0.9131,0.9805,1,100.0
62.94,0.1348,0.05,14.36,0.5413,1.0,1.0,0.8951,0.9849,2,100.0
59.0,0.1,0.05,15.69,0.5301,1.0,0.9997,0.9284,0.9923,3,99.87
74.17,0.1219,0.05,15.03,0.551,0.992,1.0,0.9087,0.9959,4,99.85
59.0,0.1,0.05,20.79,0.5214,0.9626,1.0,0.9077,0.9823,5,100.0
59.77,0.1017,0.05,21.52,0.5561,1.0,1.0,0.8724,0.9812,6,100.0
64.73,0.1223,0.0563,30.1,0.5637,1.0,1.0,0.9113,0.9885,7,99.65
62.79,0.1,0.05,22.89,0.5082,1.0,0.9627,0.9137,0.9677,8,100.0
60.41,0.141,0.052,23.11,0.4368,1.0,0.9831,0.9021,0.9947,9,99.56
59.88,0.1736,0.0579,22.53,0.528,0.9758,1.0,0.8817,0.9908,10,99.5
63.56,0.1302,0.05,27.15,0.4563,0.9786,1.0,0.9071,0.9714,11,99.8
72.79,0.1865,0.0645,26.01,0.4769,1.0,0.978,0.9021,1.0,12,98.65
63.45,0.1207,0.05,28.15,0.4996,0.9509,1.0,0.8648,0.9761,13,98.67
65.86,0.1579,0.05,33.6,0.5165,0.9633,1.0,0.8999,0.9777,14,99.17
67.37,0.108,0.0547,33.68,0.6799,0.9529,1.0,0.8553,0.9837,15,98.86
66.52,0.1188,0.05,32.94,0.4613,0.9774,1.0,0.9043,0.9785,16,99.44
72.27,0.1309,0.0621,35.64,0.441,0.9721,1.0,0.9058,0.985,17,98.73
70.27,0.1654,0.05,36.46,0.5103,0.9792,1.0,0.9084,0.9985,18,98.37
68.28,0.1065,0.0578,35.63,0.538,0.9935,1.0,0.9104,0.9791,19,99.7
78.17,0.1,0.05,39.52,0.6028,1.0,1.0,0.8935,0.9676,20,98.74
67.94,0.1008,0.0636,37.81,0.4406,0.9796,1.0,0.8826,0.9693,21,98.77
73.36,0.1415,0.0515,38.07,0.5627,0.9381,0.959,0.8751,0.9739,22,97.89
72.14,0.1739,0.0642,39.54,0.5319,0.9542,0.9888,0.8852,0.9872,23,98.2
65.47,0.1424,0.0704,40.46,0.5704,1.0,0.9824,0.8964,0.9827,24,98.39
74.01,0.115,0.0577,42.54,0.6899,1.0,1.0,0.8727,0.9933,25,97.61
71.37,0.1949,0.05,40.63,0.4734,0.9207,0.9789,0.8759,0.984,26,98.22
75.39,0.1949,0.0671,41.98,0.4556,0.9936,0.9587,0.9245,0.9992,27,97.58
71.38,0.1,0.0711,43.68,0.6693,0.9309,0.973,0.888,0.9765,28,97.57
73.02,0.1621,0.05,44.4,0.5637,0.9913,0.997,0.8637,0.9423,29,97.25
76.46,0.1381,0.05,48.47,0.5435,1.0,0.9912,0.9327,1.0,30,98.3
74.32,0.1734,0.0652,48.91,0.4563,0.996,1.0,0.8508,0.9488,31,97.19
68.62,0.1461,0.0682,49.94,0.5735,1.0,0.9498,0.8483,0.966,32,96.48
77.3,0.1427,0.05,47.42,0.4216,0.9958,0.99,0.8673,0.9625,33,97.22
75.62,0.1588,0.072,46.4,0.6253,0.9491,0.9582,0.8779,0.9429,34,96.01
75.88,0.1177,0.0805,49.1,0.4954,0.9759,0.9755,0.8782,0.9797,35,96.52
88.08,0.1553,0.0592,49.25,0.3594,0.9127,0.9958,0.909,0.953,36,95.22
86.75,0.1792,0.0954,52.7,0.5749,0.9304,0.9371,0.8807,0.9436,37,95.32
74.43,0.1432,0.0521,54.47,0.6657,0.9636,1.0,0.8809,0.9454,38,95.86
88.96,0.1782,0.0524,51.36,0.4892,0.9227,0.9919,0.9177,0.9349,39,95.91
86.39,0.1495,0.0595,51.24,0.5,0.9611,0.9531,0.8824,0.9582,40,95.39
84.0,0.1469,0.0598,54.6,0.6437,0.927,0.9689,0.8901,0.9231,41,95.01
89.32,0.1587,0.0724,52.22,0.4195,0.9045,0.9654,0.8785,0.9361,42,94.67
93.22,0.1398,0.0686,52.0,0.5505,0.9474,0.941,0.8615,0.9686,43,93.83
86.65,0.2131,0.0576,56.09,0.7575,0.8729,0.9432,0.8813,0.9453,44,93.95
91.92,0.1717,0.0702,55.34,0.7326,0.9536,0.9649,0.8609,0.9387,45,93.82
85.91,0.1952,0.0636,56.8,0.8142,0.9764,0.9553,0.8956,0.9436,46,94.31
80.44,0.1614,0.051,56.16,0.6203,0.995,0.9636,0.864,0.9641,47,93.68
84.8,0.2159,0.0816,54.59,0.7578,0.9432,0.9387,0.8744,0.9842,48,92.35
93.82,0.2065,0.0669,56.38,0.7123,0.914,0.9542,0.856,0.9533,49,93.11
97.09,0.2385,0.0685,58.17,0.5435,0.9207,0.9555,0.8774,0.9211,50,92.46
101.48,0.2537,0.0791,63.07,0.5723,0.8928,0.909,0.89,0.9498,51,92.02
95.54,0.2171,0.0626,64.75,0.6562,0.9364,0.9617,0.8714,0.9434,52,92.36
92.24,0.2241,0.093,63.12,0.8044,0.9169,0.9266,0.8588,0.9394,53,92.26
103.06,0.1638,0.0906,60.7,0.6092,0.8987,0.9105,0.8759,0.9374,54,91.9
95.67,0.191,0.0757,64.99,0.6486,0.8735,0.9294,0.848,0.8745,55,90.69
102.07,0.2237,0.0862,65.91,0.7883,0.91,0.9117,0.9046,0.9293,56,90.63
102.45,0.23,0.0813,62.47,0.6185,0.9015,0.9331,0.8422,0.9137,57,90.62
102.97,0.2233,0.0944,57.99,0.7853,0.9552,0.8922,0.8462,0.9205,58,90.61
99.31,0.221,0.0716,67.42,0.7898,0.9466,0.9397,0.8251,0.9109,59,89.54
109.53,0.2101,0.0905,63.98,0.6625,0.928,0.9326,0.8394,0.9434,60,89.33
104.59,0.2753,0.0918,64.43,0.7479,0.862,0.9357,0.8389,0.9049,61,88.52
116.67,0.2407,0.0731,62.5,0.7835,0.8576,0.9491,0.7989,0.9469,62,88.11
110.22,0.2511,0.0797,66.87,0.7071,0.9347,0.9214,0.8468,0.9095,63,88.75
109.23,0.2644,0.0684,63.9,0.7871,0.9058,0.9147,0.8436,0.9231,64,88.65
110.67,0.2452,0.0908,65.24,0.774,0.8401,0.9302,0.8473,0.9149,65,87.56
117.74,0.3166,0.0985,64.01,0.6024,0.8738,0.9114,0.8489,0.8961,66,87.72
116.23,0.2526,0.0845,65.44,0.6513,0.8458,0.8857,0.8561,0.8876,67,87.01
131.55,0.301,0.0953,67.11,0.8305,0.8612,0.9004,0.8818,0.8995,68,86.11
123.78,0.2638,0.0927,72.86,0.6958,0.9337,0.913,0.8198,0.9147,69,86.21
122.27,0.3014,0.0768,68.34,0.7303,0.8787,0.9127,0.8355,0.8763,70,86.4
123.39,0.3154,0.1019,72.55,0.8609,0.8843,0.8892,0.7928,0.9049,71,85.2
121.23,0.3007,0.0823,68.68,0.8757,0.8726,0.9073,0.8285,0.899,72,85.58
133.28,0.307,0.1039,70.62,0.7741,0.8426,0.8776,0.8058,0.9096,73,83.07
119.83,0.3016,0.0945,74.81,0.8129,0.8941,0.854,0.8271,0.9094,74,84.36
127.38,0.3486,0.0962,75.28,1.0382,0.8452,0.8683,0.8469,0.9188,75,83.56
126.44,0.3116,0.1005,70.31,0.7283,0.8205,0.8566,0.8139,0.8884,76,82.93
137.63,0.2972,0.114,73.06,0.8199,0.8687,0.8475,0.821,0.8857,77,82.68
137.17,0.3533,0.1334,72.82,0.7997,0.8167,0.8464,0.7932,0.8981,78,81.18
140.43,0.3225,0.0991,75.46,0.7896,0.8581,0.8652,0.7777,0.9076,79,81.61
142.87,0.3233,0.1041,75.57,0.8815,0.8573,0.8999,0.8037,0.8597,80,81.44
126.7,0.3187,0.1074,79.04,0.7945,0.8451,0.8601,0.8314,0.9267,81,81.53
135.66,0.3431,0.1228,77.41,1.0586,0.843,0.841,0.8121,0.8905,82,80.06
144.4,0.3802,0.1249,78.9,1.0238,0.8395,0.8396,0.8001,0.8892,83,79.43
137.26,0.3799,0.1114,77.1,1.0197,0.8229,0.841,0.7683,0.8783,84,79.1
143.88,0.4312,0.1115,77.92,0.9127,0.8664,0.84,0.8022,0.8766,85,79.32
144.07,0.3621,0.119,80.15,0.7999,0.8161,0.8213,0.8166,0.8299,86,78.53
143.25,0.3975,0.1357,78.4,0.8645,0.8604,0.7985,0.744,0.8643,87,77.6
143.49,0.3554,0.127,79.47,0.8633,0.7657,0.845,0.8011,0.8536,88,77.61
157.47,0.3622,0.107,78.11,0.9287,0.8051,0.8166,0.7915,0.8269,89,76.89
155.71,0.3928,0.1336,80.62,0.9805,0.8142,0.8297,0.7969,0.8781,90,76.81
153.65,0.4321,0.1258,83.39,0.8927,0.8392,0.8083,0.7486,0.8471,91,75.45
150.3,0.4399,0.1213,80.08,0.7778,0.7686,0.7577,0.7439,0.858,92,75.11
159.36,0.4339,0.1199,81.37,0.977,0.7425,0.8314,0.7902,0.8355,93,74.54
158.82,0.4396,0.1125,81.51,0.9294,0.7378,0.7864,0.8033,0.8474,94,73.46
154.83,0.4468,0.1459,84.25,0.9973,0.7513,0.8089,0.7769,0.8541,95,73.8
162.57,0.4675,0.1283,85.52,1.0218,0.828,0.7762,0.8009,0.8373,96,73.23
158.19,0.4293,0.1326,84.23,1.0671,0.7425,0.7836,0.8055,0.8645,97,72.54
165.66,0.4526,0.1391,85.1,0.9254,0.746,0.7448,0.7673,0.8395,98,71.86
164.5,0.5117,0.1293,81.48,1.0719,0.775,0.8018,0.7443,0.8425,99,70.7
166.95,0.4602,0.1506,86.14,0.8932,0.7872,0.795,0.7406,0.8284,100,70.62
171.2,0.4792,0.138,83.97,1.0585,0.7734,0.7736,0.743,0.8333,101,70.08
156.88,0.515,0.1287,85.09,0.9644,0.6922,0.7788,0.737,0.8208,102,69.26
